x_value,total_1,total_2
0,1000,1000
1,1000,1004
2,995,1006
3,997,1002
4,996,1004
5,994,1002
6,1000,1002
7,997,1003
8,997,1005
9,996,1007
10,1003,1002
11,1005,1002
12,1007,1005
13,1012,1002
14,1016,1005
15,1011,1005
16,1008,1004
17,1002,999
18,1004,1004
19,1002,1009
20,998,1014
21,997,1013
22,994,1012
23,1002,1016
24,1004,1014
25,1006,1017
26,1004,1014
27,998,1015
28,997,1020
29,998,1018
30,996,1018
31,1001,1013
32,1002,1017
33,1005,1013
34,1010,1014
35,1008,1009
36,1015,1015
37,1015,1020
38,1018,1017
39,1012,1022
40,1010,1019
41,1017,1023
42,1020,1018
43,1021,1018
44,1020,1017
45,1027,1014
46,1022,1018
47,1029,1015
48,1036,1010
49,1036,1008
50,1031,1014
51,1033,1015
52,1039,1011
53,1044,1011
54,1044,1015
55,1046,1013
56,1052,1008
57,1053,1013
58,1049,1010
59,1048,1016
60,1055,1020
61,1057,1018
62,1051,1020
63,1048,1022
64,1050,1026
65,1046,1031
66,1046,1029
67,1049,1035
68,1052,1031
69,1058,1036
70,1066,1037
71,1067,1039
72,1074,1036
73,1072,1040
74,1075,1039
75,1077,1037
76,1084,1037
77,1086,1042
78,1092,1038
79,1096,1037
80,1092,1036
81,1092,1036
82,1089,1032
83,1084,1038
84,1089,1035
85,1096,1032
86,1090,1029
87,1089,1035
88,1087,1036
89,1092,1038
90,1098,1040
91,1106,1036
92,1105,1031
93,1110,1036
94,1104,1040
95,1098,1040
96,1092,1039
97,1087,1041
98,1091,1046
99,1090,1045
100,1090,1049
101,1089,1047
102,1085,1042
103,1087,1038
104,1082,1037
105,1083,1036
106,1086,1033
107,1083,1037
108,1080,1037
109,1077,1034
110,1083,1039
111,1078,1045
112,1080,1044
113,1078,1045
114,1072,1041
115,1074,1039
116,1075,1037
117,1076,1043
118,1080,1045
119,1086,1045
120,1089,1045
121,1090,1047
122,1086,1053
123,1084,1053
124,1091,1058
125,1099,1062
126,1093,1061
127,1091,1060
128,1099,1060
129,1099,1057
130,1094,1058
131,1088,1060
132,1093,1057
133,1098,1054
134,1100,1050
135,1107,1046
136,1105,1043
137,1110,1045
138,1105,1040
139,1105,1044
140,1103,1048
141,1102,1049
142,1097,1048
143,1101,1045
144,1097,1040
145,1101,1040
146,1106,1046
147,1103,1048
148,1105,1054
149,1102,1060
150,1101,1059
151,1106,1059
152,1107,1054
153,1111,1049
154,1107,1053
155,1115,1058
156,1112,1053
157,1115,1057
158,1114,1052
159,1120,1048
160,1123,1053
161,1129,1058
162,1133,1058
163,1132,1059
164,1128,1058
165,1122,1060
166,1118,1061
167,1125,1060
168,1119,1066
169,1117,1067
170,1114,1068
171,1109,1068
172,1117,1067
173,1116,1069
174,1121,1066
175,1129,1064
176,1133,1059
177,1129,1062
178,1128,1065
179,1136,1066
180,1144,1064
181,1140,1064
182,1140,1066
183,1142,1069
184,1136,1065
185,1133,1065
186,1127,1061
187,1131,1066
188,1127,1062
189,1124,1068
190,1132,1067
191,1129,1066
192,1128,1072
193,1126,1075
194,1121,1078
195,1124,1080
196,1132,1080
197,1128,1086
198,1127,1091
199,1124,1086
200,1131,1092
201,1125,1094
202,1120,1091
203,1117,1088
204,1119,1092
205,1125,1091
206,1119,1087
207,1125,1093
208,1126,1097
209,1125,1099
210,1125,1104
211,1131,1099
212,1133,1103
213,1136,1102
214,1131,1103
215,1126,1103
216,1128,1101
217,1134,1102
218,1138,1097
219,1132,1094
220,1135,1096
221,1141,1101
222,1143,1099
223,1143,1095
224,1139,1091
225,1147,1096
226,1143,1100
227,1142,1098
228,1136,1094
229,1143,1098
230,1138,1099
231,1140,1096
232,1141,1096
233,1148,1094
234,1145,1092
235,1153,1096
236,1158,1091
237,1155,1090
238,1153,1088
239,1150,1090
240,1150,1090
241,1157,1085
242,1151,1080
243,1158,1076
244,1164,1076
245,1170,1078
246,1172,1082
247,1173,1086
248,1173,1091
249,1181,1092
250,1176,1087
251,1175,1093
252,1179,1097
253,1173,1095
254,1173,1090
255,1179,1086
256,1181,1089
257,1180,1086
258,1175,1092
259,1169,1090
260,1175,1085
261,1174,1085
262,1175,1086
263,1173,1085
264,1173,1091
265,1168,1086
266,1169,1085
267,1163,1082
268,1167,1088
269,1166,1089
270,1162,1091
271,1162,1096
272,1162,1091
273,1160,1089
274,1158,1094
275,1160,1098
276,1166,1098
277,1171,1095
278,1168,1101
279,1173,1105
280,1181,1108
281,1178,1110
282,1181,1111
283,1185,1109
284,1185,1104
285,1190,1110
286,1198,1115
287,1205,1119
288,1207,1121
289,1213,1119
290,1218,1117
291,1214,1112
292,1209,1116
293,1207,1118
294,1208,1116
295,1205,1116
296,1209,1115
297,1210,1119
298,1218,1121
299,1222,1117
300,1220,1123
301,1215,1118
302,1218,1118
303,1225,1122
304,1221,1121
305,1228,1121
306,1224,1120
307,1232,1121
308,1238,1126
309,1235,1127
310,1243,1133
311,1247,1138
312,1246,1141
313,1251,1140
314,1257,1144
315,1261,1139
316,1266,1135
317,1274,1140
318,1269,1143
319,1273,1143
320,1276,1138
321,1278,1133
322,1280,1131
323,1284,1137
324,1278,1138
325,1274,1141
326,1273,1140
327,1267,1141
328,1266,1141
329,1260,1146
330,1263,1149
331,1257,1148
332,1252,1143
333,1246,1140
334,1252,1141
335,1252,1142
336,1257,1148
337,1257,1145
338,1252,1142
339,1246,1141
340,1250,1141
341,1245,1143
342,1253,1143
343,1260,1138
344,1264,1144
345,1266,1142
346,1270,1139
347,1265,1134
348,1272,1132
349,1266,1131
350,1274,1135
351,1270,1131
352,1272,1133
353,1269,1133
354,1267,1136
355,1273,1137
356,1270,1134
357,1268,1135
358,1274,1134
359,1280,1136
360,1285,1141
361,1292,1141
362,1286,1145
363,1287,1147
364,1285,1150
365,1283,1156
366,1287,1157
367,1287,1159
368,1284,1159
369,1278,1164
370,1283,1166
371,1287,1170
372,1285,1175
373,1287,1181
374,1290,1178
375,1289,1174
376,1290,1178
377,1291,1183
378,1295,1180
379,1292,1186
380,1290,1181
381,1287,1184
382,1289,1188
383,1295,1188
384,1300,1185
385,1300,1183
386,1296,1188
387,1297,1193
388,1295,1193
389,1303,1190
390,1299,1193
391,1303,1193
392,1298,1191
393,1302,1189
394,1298,1192
395,1292,1195
396,1300,1195
397,1297,1200
398,1291,1204
399,1286,1200
400,1287,1196
401,1292,1196
402,1295,1198
403,1292,1201
404,1292,1198
405,1298,1200
406,1305,1196
407,1310,1197
408,1306,1196
409,1309,1200
410,1306,1204
411,1313,1209
412,1309,1212
413,1307,1218
414,1303,1218
415,1297,1216
416,1291,1218
417,1292,1215
418,1298,1211
419,1295,1213
420,1300,1208
421,1299,1205
422,1302,1202
423,1298,1202
424,1294,1197
425,1293,1194
426,1288,1193
427,1291,1193
428,1289,1199
429,1290,1197
430,1294,1195
431,1300,1196
432,1307,1192
433,1314,1189
434,1317,1187
435,1324,1188
436,1330,1188
437,1333,1190
438,1333,1190
439,1341,1193
440,1341,1191
441,1345,1190
442,1342,1191
443,1344,1194
444,1344,1195
445,1338,1193
446,1345,1199
447,1350,1203
448,1350,1203
449,1345,1205
450,1350,1203
451,1344,1208
452,1343,1209
453,1337,1208
454,1335,1212
455,1342,1207
456,1338,1210
457,1335,1206
458,1332,1209
459,1331,1210
460,1326,1207
461,1320,1206
462,1323,1208
463,1317,1212
464,1318,1210
465,1314,1216
466,1315,1219
467,1315,1214
468,1311,1209
469,1319,1212
470,1313,1216
471,1314,1222
472,1321,1217
473,1328,1212
474,1322,1216
475,1329,1212
476,1330,1216
477,1334,1215
478,1337,1211
479,1345,1216
480,1352,1214
481,1358,1210
482,1364,1216
483,1372,1221
484,1373,1225
485,1375,1222
486,1378,1220
487,1373,1223
488,1373,1225
489,1378,1227
490,1373,1223
491,1376,1225
492,1373,1223
493,1381,1223
494,1387,1226
495,1391,1224
496,1393,1225
497,1392,1231
498,1397,1232
499,1395,1228
500,1396,1229
501,1395,1224
502,1400,1227
503,1396,1223
504,1394,1228
505,1388,1227
506,1384,1227
507,1381,1230
508,1388,1234
509,1382,1232
510,1385,1238
511,1388,1233
512,1391,1238
513,1396,1234
514,1393,1229
515,1393,1235
516,1390,1234
517,1396,1231
518,1403,1229
519,1411,1234
520,1418,1232
521,1421,1232
522,1427,1230
523,1423,1226
524,1430,1223
525,1438,1226
526,1439,1225
527,1433,1220
528,1430,1224
529,1424,1220
530,1422,1223
531,1416,1229
532,1422,1233
533,1416,1239
534,1418,1240
535,1426,1241
536,1425,1242
537,1424,1246
538,1430,1252
539,1432,1252
540,1427,1249
541,1430,1246
542,1429,1245
543,1434,1244
544,1435,1239
545,1430,1234
546,1438,1233
547,1443,1234
548,1438,1237
549,1436,1239
550,1437,1234
